timestamp          , endpoint_name, endpoint_type, source_ip   , destination_ip, protocol, traffic_rate, bandwidth, packet_count, connections, latency, packet_loss, cpu_utilization, label  , anomaly_type
2026-09-01 14:12:39, Printer-01   , Printer      , 192.168.1.50, 8.8.8.8       , UDP     ,        41.41,     33.85,           40,           2,   51.63,        0.94,           34.11, Normal , None
2026-09-01 14:12:40, Server-01    , Server       , 192.168.1.40, 192.168.1.50  , UDP     ,     12016.7 ,  11728.88,        12252,         206,   35.6 ,        0.89,           65.91, Normal , None
2026-09-01 14:12:41, Desktop-03   , Desktop      , 192.168.1.12, 192.168.1.50  , ICMP    ,       448.35,    447.46,          409,          30,   18.65,        1.35,           60.27, Normal , None
2026-09-01 14:12:42, Server-03    , Server       , 192.168.1.42, 192.168.1.20  , TCP     ,      5805.42,   6212.0 ,         5912,         323,   32.97,        0.34,           62.97, Normal , None
2026-09-01 14:12:43, IP-Camera-03 , IP Camera    , 192.168.1.47, 192.168.1.50  , TCP     ,      2861.1 ,   2966.7 ,         3021,          15,   30.19,        0.9 ,           97.53, Anomaly, High CPU
2026-09-01 14:12:44, Smartphone-03, Smartphone   , 192.168.1.32, 192.168.1.50  , TCP     ,       392.69,    337.76,          391,          23,   84.44,        2.32,           43.77, Normal , None
2026-09-01 14:12:45, Smartphone-05, Smartphone   , 192.168.1.34, 192.168.1.20  , TCP     ,       219.26,    219.45,          213,          19,   76.57,        0.43,           12.69, Normal , None
2026-09-01 14:12:46, Laptop-09    , Laptop       , 192.168.1.28, 8.8.8.8       , UDP     ,       496.68,    552.33,          436,          19,   40.7 ,        1.97,           18.16, Normal , None
2026-09-01 14:12:47, Smartphone-07, Smartphone   , 192.168.1.36, 192.168.1.1   , UDP     ,       195.37,    202.51,          208,          17,   51.53,        1.62,           19.59, Normal , None
2026-09-01 14:12:48, Server-03    , Server       , 192.168.1.42, 192.168.1.20  , TCP     ,     12788.3 ,  12131.37,        10934,         253,   32.04,        0.49,           71.42, Normal , None
2026-09-01 14:12:49, Laptop-09    , Laptop       , 192.168.1.28, 8.8.8.8       , UDP     ,       723.04,    634.91,          865,          11,   66.65,        1.18,           53.09, Normal , None
2026-09-01 14:12:50, Server-01    , Server       , 192.168.1.40, 192.168.1.50  , UDP     ,      8407.91,   9501.51,         6911,         170,   30.64,        1.65,           61.34, Normal , None
2026-09-01 14:12:51, Desktop-06   , Desktop      , 192.168.1.15, 192.168.1.50  , ICMP    ,       802.23,    822.85,          951,          30,   58.2 ,        1.71,           57.08, Normal , None
2026-09-01 14:12:52, Desktop-08   , Desktop      , 192.168.1.17, 192.168.1.50  , TCP     ,       607.4 ,    532.62,          578,          18,   31.37,        1.17,           47.58, Normal , None
2026-09-01 14:12:53, Desktop-08   , Desktop      , 192.168.1.17, 192.168.1.50  , UDP     ,       528.4 ,    468.96,          624,          26,   28.04,        0.49,           41.92, Normal , None
2026-09-01 14:12:54, Desktop-07   , Desktop      , 192.168.1.16, 192.168.1.20  , UDP     ,       292.21,    346.21,          308,           5,   49.49,        1.85,           17.24, Normal , None
2026-09-01 14:12:55, IP-Camera-03 , IP Camera    , 192.168.1.47, 192.168.1.50  , TCP     ,      2184.09,   2064.89,         2378,           4,   47.98,        0.68,           26.95, Normal , None
2026-09-01 14:12:56, Smartphone-06, Smartphone   , 192.168.1.35, 8.8.8.8       , ICMP    ,       213.21,    240.48,          195,          23,   78.23,        0.55,           22.55, Normal , None
2026-09-01 14:12:57, Smartphone-07, Smartphone   , 192.168.1.36, 192.168.1.20  , ICMP    ,       386.98,    399.82,          412,          12,  710.2 ,        0.75,           18.44, Anomaly, High Latency
2026-09-01 14:12:58, IoT-Sensor-04, IoT Sensor   , 192.168.1.56, 192.168.1.20  , TCP     ,        53.34,     58.18,           50,           3,  117.64,        0.24,           18.56, Normal , None
